var,qam4,qam16,qam64
1.55723,0.210833,0.334167,0.366667
1.5622,0.211667,0.334167,0.3675
1.56717,0.211667,0.334167,0.369167
1.57215,0.211667,0.334167,0.369167
1.57713,0.213333,0.334167,0.370833
1.5821,0.214167,0.334167,0.370833
1.58708,0.214167,0.334167,0.370833
1.59205,0.214167,0.334167,0.370833
1.59702,0.215,0.334167,0.37
1.602,0.215,0.335,0.369167
1.60698,0.215,0.335,0.369167
1.61195,0.215,0.335,0.37
1.61692,0.215833,0.335,0.37
1.6219,0.215833,0.335833,0.37
1.62688,0.215833,0.335833,0.369167
1.63185,0.216667,0.335833,0.369167
1.63682,0.216667,0.335833,0.369167
1.6418,0.2175,0.335833,0.369167
1.64678,0.2175,0.335833,0.369167
1.65175,0.2175,0.335833,0.369167
1.65673,0.2175,0.336667,0.370833
1.6617,0.2175,0.3375,0.371667
1.66667,0.2175,0.339167,0.371667
1.67165,0.2175,0.339167,0.373333
1.67663,0.218333,0.339167,0.3725
1.6816,0.218333,0.338333,0.3725
1.68657,0.218333,0.338333,0.3725
1.69155,0.218333,0.338333,0.373333
1.69653,0.218333,0.338333,0.374167
1.7015,0.219167,0.339167,0.375
1.70647,0.219167,0.34,0.375833
1.71145,0.22,0.34,0.375833
1.71643,0.22,0.34,0.376667
1.7214,0.22,0.34,0.376667
1.72637,0.22,0.34,0.376667
1.73135,0.221667,0.341667,0.3775
1.73633,0.221667,0.341667,0.376667
1.7413,0.221667,0.3425,0.376667
1.74628,0.2225,0.3425,0.3775
1.75125,0.223333,0.3425,0.378333
1.75622,0.224167,0.3425,0.379167
1.7612,0.225,0.3425,0.379167
1.76618,0.225,0.343333,0.378333
1.77115,0.225,0.343333,0.378333
1.77612,0.225,0.343333,0.3775
1.7811,0.225,0.3425,0.379167
1.78608,0.225833,0.3425,0.379167
1.79105,0.225833,0.3425,0.379167
1.79602,0.226667,0.3425,0.3775
1.801,0.226667,0.3425,0.378333
1.80598,0.226667,0.3425,0.379167
1.81095,0.226667,0.3425,0.378333
1.81593,0.226667,0.343333,0.378333
1.8209,0.226667,0.343333,0.379167
1.82587,0.226667,0.343333,0.379167
1.83085,0.226667,0.343333,0.379167
1.83583,0.226667,0.345,0.378333
1.8408,0.226667,0.345833,0.378333
1.84577,0.228333,0.345833,0.378333
1.85075,0.228333,0.345833,0.379167
1.85573,0.228333,0.345833,0.379167
1.8607,0.228333,0.345833,0.378333
1.86567,0.229167,0.345833,0.3775
1.87065,0.229167,0.345833,0.3775
1.87563,0.229167,0.345833,0.3775
1.8806,0.229167,0.3475,0.3775
1.88558,0.229167,0.3475,0.3775
1.89055,0.229167,0.3475,0.378333
1.89552,0.229167,0.3475,0.378333
1.9005,0.229167,0.348333,0.378333
1.90548,0.23,0.349167,0.378333
1.91045,0.23,0.35,0.378333
1.91542,0.23,0.350833,0.378333
1.9204,0.23,0.350833,0.378333
1.92538,0.23,0.350833,0.379167
1.93035,0.230833,0.350833,0.379167
1.93532,0.2325,0.350833,0.381667
1.9403,0.235,0.350833,0.381667
1.94528,0.235,0.350833,0.381667
1.95025,0.235833,0.351667,0.381667
1.95522,0.235833,0.351667,0.380833
1.9602,0.236667,0.350833,0.380833
1.96518,0.236667,0.350833,0.380833
1.97015,0.236667,0.350833,0.380833
1.97513,0.236667,0.350833,0.380833
1.9801,0.236667,0.350833,0.3825
1.98507,0.236667,0.350833,0.3825
1.99005,0.238333,0.350833,0.383333
1.99503,0.238333,0.350833,0.383333
